|substance_id|substance_name                                                                                                                                                                                                                                                                                                                                                                                                                              |num_allergic_patients|num_medications_containing|
|9,030       |Equisetum Arvense Ex Herba Ferm 35b Dil. D5 (Hab, Vs. 35b), Pancreas Suis Gl Dil. D4 (Hab, Vs. 41a)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |0                    |2                         |
|9,031       |Ferrum Sidereum Dil. D19 Aquos., Pancreas Suis Gl Dil. D5 (Hab, Vs. 41a)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0                    |1                         |
|9,032       |Pancreatin, Amylase, Lipase, Protease                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |0                    |1                         |
|9,033       |A/Vietnam/1203/2004 (H5n1) Strain (A/Vietnam/1203/2004, Medi 0141000136)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0                    |4                         |
|9,034       |A/California/7/2009 (H1n1) V Reass. X - 179 A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |0                    |1                         |
|9,035       |A/California/7/2009(H1n1)-Like Strain (Nymc X-179a)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |0                    |1                         |
|9,036       |Hydrochlorothiazide, Ramipril, Amlodipine Besilate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |0                    |9                         |
|9,037       |Pankreas Bovis Dil. D6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |0                    |1                         |
|9,038       |Phosphorus D6, Lycopodium Clavatum D6, Momordica Balsamina D4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |0                    |1                         |
|9,039       |Pancreas Suis D10, Pancreas Suis D200, Pancreas Suis D30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0                    |1                         |
|9,040       |Pancreas Suis D12, Pancreas Suis D8, Pancreas Suis D200, Pancreas Suis D30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |0                    |1                         |
|9,041       |Phosphorus Dil. D6, Colocynthis Dil. D6, Lycopodium Dil. D6, Momordica Balsamina Dil. D3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0                    |1                         |
|9,042       |Dimeticone, Amylase, Lipase, Protease                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |0                    |1                         |
|9,043       |Dimeticone, Pancreatin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |0                    |2                         |
|9,044       |Pancreas Powder From Porcine, Dimeticone 1000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |0                    |1                         |
|9,045       |Fludrocortisone Acetate, Neomycin Sulfate, Polymyxin B Sulfate, Lidocaine Hydrochloride                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |0                    |4                         |
|9,046       |Pantethine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |0                    |1                         |
|9,047       |Calcium Pantothenate, Thiamine Nitrate, Keratin, Saccharomyces Cerevisiae, L-Cystine, 4-Aminobenzencarboxi Acid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |0                    |1                         |
|9,048       |Cystine, Calcium Pantothenate Ph. Eur.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |0                    |1                         |
|9,049       |Cystine, Thiamine Nitrate, Keratin, Calcium Pantothenate Ph. Eur., P-Aminobenzoic Acid, Saccharomyces Cerevisiae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |0                    |1                         |
|9,050       |Thiamine Nitrate, Calcium D-Pantothenate, Keratin, Saccharomyces Boulardii, P-Aminobenzoic Acid, L-Cystine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |0                    |1                         |
|9,051       |Panthenol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0                    |1                         |
|9,052       |Cystine, Calcium Pantothenate, Thiamine Nitrate, Keratin, Saccharomyces Cerevisiae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |0                    |2                         |
|9,053       |Dexpanthenol, Hydrocortisone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |0                    |1                         |
|9,054       |Pancreatin, Fel Tauri, Hemicellulase                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |0                    |1                         |
|9,055       |Papaverine Hydrochloride                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0                    |14                        |
|9,056       |Butyl Parahydroxybenzoate, Ethyl Parahydroxybenzoate E214, Methyl Parahydroxybenzoate, Propyl Parahydroxybenzoate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |0                    |2                         |
