|Department   |Year |KEN_Code|Provider         |Total_Hospitalizations|Base_Revenue|Extra_Revenue|Total_Revenue|
|Δερματολογικό|2,025|Κ11Μ    |ιδιωτική ασφάλεια|1                     |7,292       |0            |2,688.76     |
|Δερματολογικό|2,025|Κ35Χ    |ΕΦΚΑ             |1                     |521         |3,126        |4,016.85     |
|Δερματολογικό|2,025|Κ44Α    |ιδιωτική ασφάλεια|1                     |311         |3,110        |4,403.26     |
|Δερματολογικό|2,025|Μ17Μ    |ΕΦΚΑ             |1                     |2,708       |0            |2,978.21     |
|Δερματολογικό|2,025|Μ32Χ    |ΕΦΚΑ             |1                     |9,147       |0            |2,030.67     |
|Δερματολογικό|2,025|Μ61Χ    |ιδιωτική ασφάλεια|1                     |856         |1,926        |1,024.83     |
|Δερματολογικό|2,025|Σ21Μ    |ΕΦΚΑ             |1                     |3,782       |0            |1,104.68     |
|Δερματολογικό|2,025|ΤΚΑ 16  |ανασφάλιστος     |1                     |1,000       |1,142.857143 |3,629.29     |
|Δερματολογικό|2,025|Υ04Χα   |ΕΦΚΑ             |1                     |2,361       |0            |3,330.11     |
|Δερματολογικό|2,025|Φ62Χ    |ΕΦΚΑ             |1                     |374         |1,309        |4,762.09     |
|Δερματολογικό|2,025|Ω04Χ    |ΕΦΚΑ             |1                     |1,934       |0            |3,782.83     |
|Επείγοντα    |2,025|S01Χ    |ιδιωτική ασφάλεια|1                     |1,334       |4,002        |1,195.22     |
|Επείγοντα    |2,025|S20Α    |ιδιωτική ασφάλεια|1                     |934         |2,802        |1,091.16     |
|Επείγοντα    |2,025|Α24Μ    |ΕΦΚΑ             |1                     |1,821       |682.875      |2,794.1      |
|Επείγοντα    |2,025|Β23Α    |ανασφάλιστος     |1                     |316         |2,528        |3,062.86     |
|Επείγοντα    |2,025|Κ09Μα   |ιδιωτική ασφάλεια|1                     |6,413       |0            |3,181.41     |
|Επείγοντα    |2,025|Κ13Χ    |ανασφάλιστος     |1                     |1,660       |1,185.714286 |3,198.88     |
|Επείγοντα    |2,025|Κ14Χ    |ιδιωτική ασφάλεια|1                     |1,277       |0            |1,063.46     |
|Επείγοντα    |2,025|Κ30Χ    |ανασφάλιστος     |1                     |4,470       |0            |2,899.59     |
|Επείγοντα    |2,025|Κ39Χ    |ανασφάλιστος     |1                     |327         |1,798.5      |4,924.24     |
|Επείγοντα    |2,025|Κ46Χ    |ιδιωτική ασφάλεια|1                     |444         |666          |3,946.56     |
|Επείγοντα    |2,025|Μ04Χ    |ιδιωτική ασφάλεια|1                     |6,611       |0            |4,032.56     |
|Επείγοντα    |2,025|Μ07Α    |ανασφάλιστος     |1                     |5,235       |0            |778.58       |
|Επείγοντα    |2,025|Μ64Χ    |ιδιωτική ασφάλεια|1                     |1,175       |587.5        |2,286.29     |
|Επείγοντα    |2,025|Ν02Μβ   |ΕΦΚΑ             |1                     |4,721       |429.181818   |1,331.26     |
|Επείγοντα    |2,025|Ο20Μ    |ανασφάλιστος     |1                     |1,860       |697.5        |1,144.59     |
|Επείγοντα    |2,025|Π03Χβ   |ιδιωτική ασφάλεια|1                     |1,813       |3,626        |923.78       |
|Επείγοντα    |2,025|Π04Μβ   |ιδιωτική ασφάλεια|1                     |2,710       |0            |1,849.68     |
|Επείγοντα    |2,025|Ρ20Χ    |ΕΦΚΑ             |1                     |1,261       |0            |3,432.51     |
|Επείγοντα    |2,025|ΤΚΑ 12  |ΕΦΚΑ             |1                     |1,000       |1,000        |3,486.23     |
|Επείγοντα    |2,025|ΤΚΑ 13  |ιδιωτική ασφάλεια|1                     |1,000       |0            |3,146.42     |
|Επείγοντα    |2,025|ΤΚΑ 17  |ιδιωτική ασφάλεια|1                     |1,000       |857.142857   |4,665.8      |
|Επείγοντα    |2,025|Υ06Μ    |ΕΦΚΑ             |1                     |2,381       |1,587.333333 |3,787.18     |
|Επείγοντα    |2,025|Φ11Χ    |ιδιωτική ασφάλεια|1                     |1,883       |0            |2,246.5      |
|Επείγοντα    |2,025|Φ22Χ    |ΕΦΚΑ             |1                     |827         |3,308        |1,925.78     |
|Επείγοντα    |2,025|Φ62Χ    |ανασφάλιστος     |1                     |374         |374          |594          |
|Επείγοντα    |2,025|Χ42Χ    |ιδιωτική ασφάλεια|1                     |1,331       |998.25       |2,657.99     |
|Επείγοντα    |2,025|Ω02Μα   |ιδιωτική ασφάλεια|1                     |5,420       |0            |3,617.38     |
|Επείγοντα    |2,025|Ω02Μβ   |ΕΦΚΑ             |1                     |2,570       |1,285        |2,719.83     |
|Επείγοντα    |2,025|Ω37Β    |ιδιωτική ασφάλεια|1                     |661         |0            |4,917.63     |
|Καρδιολογία  |2,025|W10Α    |ΕΦΚΑ             |1                     |2,014       |4,028        |1,983.94     |
|Καρδιολογία  |2,025|Α02Μβ   |ανασφάλιστος     |1                     |1,595       |319          |1,464.96     |
|Καρδιολογία  |2,025|Α24Μ    |ανασφάλιστος     |1                     |1,821       |1,138.125    |3,763.94     |
|Καρδιολογία  |2,025|Α31Χ    |ιδιωτική ασφάλεια|1                     |910         |0            |4,216.17     |
|Καρδιολογία  |2,025|Ε08Μ    |ανασφάλιστος     |1                     |10,017      |0            |4,999.16     |
|Καρδιολογία  |2,025|Η07Μ    |ιδιωτική ασφάλεια|1                     |4,299       |0            |1,402.58     |
|Καρδιολογία  |2,025|Η40Χ    |ανασφάλιστος     |1                     |366         |2,013        |510.71       |
|Καρδιολογία  |2,025|Θ08Α    |ΕΦΚΑ             |1                     |952         |952          |1,278.28     |
|Καρδιολογία  |2,025|Λ04Χ    |ανασφάλιστος     |1                     |571         |3,426        |2,182.57     |
|Καρδιολογία  |2,025|Λ05Α    |ιδιωτική ασφάλεια|1                     |334         |334          |688.45       |
|Καρδιολογία  |2,025|Μ10Μ    |ανασφάλιστος     |1                     |3,391       |0            |2,656.97     |
|Καρδιολογία  |2,025|Ν05Α    |ιδιωτική ασφάλεια|1                     |439         |3,951        |4,351.19     |
|Καρδιολογία  |2,025|Ν12Χ    |ιδιωτική ασφάλεια|1                     |3,720       |0            |3,645.79     |
|Καρδιολογία  |2,025|Ν31Μ    |ιδιωτική ασφάλεια|1                     |1,510       |0            |3,980.58     |
|Καρδιολογία  |2,025|Ξ20Χβ   |ανασφάλιστος     |1                     |257         |2,056        |2,180.61     |
|Καρδιολογία  |2,025|Π05Χ    |ανασφάλιστος     |1                     |1,379       |2,758        |2,107.14     |
|Καρδιολογία  |2,025|Ω34Α    |ιδιωτική ασφάλεια|1                     |288         |3,456        |2,905.51     |
|ΜΕΘ          |2,025|Α31Χ    |ΕΦΚΑ             |1                     |910         |1,820        |1,628.41     |
|ΜΕΘ          |2,025|Δ24Χ    |ΕΦΚΑ             |1                     |802         |0            |3,804.24     |
|ΜΕΘ          |2,025|Η05Χ    |ιδιωτική ασφάλεια|1                     |1,393       |1,393        |3,486.98     |
|ΜΕΘ          |2,025|Λ24Α    |ΕΦΚΑ             |1                     |288         |0            |3,548.69     |
|ΜΕΘ          |2,025|Μ02Μ    |ιδιωτική ασφάλεια|1                     |9,110       |0            |2,197.36     |
|ΜΕΘ          |2,025|Μ27Μ    |ΕΦΚΑ             |1                     |2,179       |0            |4,533.02     |
|ΜΕΘ          |2,025|Μ28Μ    |ΕΦΚΑ             |1                     |2,639       |479.818182   |1,383.1      |
|ΜΕΘ          |2,025|Μ64Μ    |ΕΦΚΑ             |1                     |2,669       |0            |2,139.25     |
|ΜΕΘ          |2,025|Μ78Χ    |ΕΦΚΑ             |1                     |475         |2,137.5      |1,778.63     |
|ΜΕΘ          |2,025|Ν05Α    |ΕΦΚΑ             |1                     |439         |0            |3,731.71     |
|ΜΕΘ          |2,025|Π41Χ    |ανασφάλιστος     |1                     |412         |2,472        |2,072.31     |
|ΜΕΘ          |2,025|Σ04Μ    |ΕΦΚΑ             |1                     |1,694       |1,210        |4,256.42     |
|ΜΕΘ          |2,025|Σ22Χ    |ιδιωτική ασφάλεια|1                     |638         |319          |2,053.91     |
|ΜΕΘ          |2,025|Τ02Α    |ιδιωτική ασφάλεια|1                     |20,279      |0            |1,967.25     |
|ΜΕΘ          |2,025|Φ64Χ    |ιδιωτική ασφάλεια|1                     |303         |3,939        |1,468.58     |
|ΜΕΘ          |2,025|Ω36Μ    |ιδιωτική ασφάλεια|1                     |957         |717.75       |1,974.82     |
|Νευρολογικό  |2,025|Α22Μβ   |ιδιωτική ασφάλεια|1                     |1,144       |1,334.666667 |1,930.18     |
|Νευρολογικό  |2,025|Α36Α    |ιδιωτική ασφάλεια|1                     |2,412       |0            |3,579.08     |
|Νευρολογικό  |2,025|Δ01Χ    |ΕΦΚΑ             |1                     |6,452       |0            |4,746.56     |
|Νευρολογικό  |2,025|Δ08Μ    |ιδιωτική ασφάλεια|1                     |2,294       |0            |845.11       |
|Νευρολογικό  |2,025|Η43Μ    |ιδιωτική ασφάλεια|1                     |1,813       |0            |3,612.02     |
|Νευρολογικό  |2,025|Θ01Μ    |ανασφάλιστος     |1                     |6,202       |0            |4,670.71     |
|Νευρολογικό  |2,025|Κ17Μ    |ΕΦΚΑ             |1                     |2,892       |2,892        |2,348.72     |
|Νευρολογικό  |2,025|Μ15Α    |ιδιωτική ασφάλεια|1                     |3,761       |0            |4,036.74     |
|Νευρολογικό  |2,025|Μ25Μ    |ιδιωτική ασφάλεια|1                     |2,864       |260.363636   |3,119.97     |
|Νευρολογικό  |2,025|Μ25Χ    |ΕΦΚΑ             |1                     |1,260       |3,360        |2,759.54     |
|Νευρολογικό  |2,025|Μ78Χ    |ιδιωτική ασφάλεια|1                     |475         |2,850        |2,233.13     |
|Νευρολογικό  |2,025|Ν22Α    |ιδιωτική ασφάλεια|1                     |243         |2,916        |1,075.2      |
|Νευρολογικό  |2,025|Ν29Μ    |ιδιωτική ασφάλεια|1                     |1,230       |1,640        |1,586.97     |
|Νευρολογικό  |2,025|Ξ20Μ    |ιδιωτική ασφάλεια|2                     |3,890       |1,389.285714 |7,214.1      |
|Νευρολογικό  |2,025|Ο10Α    |ιδιωτική ασφάλεια|1                     |650         |2,600        |3,554.02     |
|Νευρολογικό  |2,025|Π28Χ    |ανασφάλιστος     |1                     |872         |436          |4,724.9      |
|Νευρολογικό  |2,025|Ρ10Χ    |ιδιωτική ασφάλεια|1                     |1,473       |210.428571   |4,504.62     |
|Νευρολογικό  |2,025|Τ03Α    |ανασφάλιστος     |1                     |16,846      |0            |1,339.02     |
|Νευρολογικό  |2,025|ΤΚΑ 15  |ΕΦΚΑ             |1                     |1,000       |714.285714   |2,041.26     |
|Νευρολογικό  |2,025|Υ27Μ    |ΕΦΚΑ             |1                     |1,673       |1,912        |1,295.67     |
|Ορθοπεδικό   |2,025|Α32Α    |ΕΦΚΑ             |1                     |846         |1,692        |2,258.98     |
|Ορθοπεδικό   |2,025|Γ20Χ    |ΕΦΚΑ             |1                     |755         |1,761.666667 |4,154.16     |
|Ορθοπεδικό   |2,025|Δ01Χ    |ιδιωτική ασφάλεια|1                     |6,452       |0            |3,729.14     |
|Ορθοπεδικό   |2,025|Δ20Α    |ανασφάλιστος     |1                     |171         |1,710        |1,374.75     |
|Ορθοπεδικό   |2,025|Η40Μβ   |ΕΦΚΑ             |1                     |965         |1,737        |3,280        |
|Ορθοπεδικό   |2,025|Κ05Χ    |ανασφάλιστος     |1                     |7,270       |0            |2,602.09     |
|Ορθοπεδικό   |2,025|Κ33Χ    |ΕΦΚΑ             |1                     |669         |535.2        |2,121.54     |
|Ορθοπεδικό   |2,025|Κ34Μ    |ΕΦΚΑ             |1                     |2,233       |343.538462   |3,316.37     |
|Ορθοπεδικό   |2,025|Ν10Α    |ΕΦΚΑ             |1                     |163         |2,119        |4,660.78     |
|Ορθοπεδικό   |2,025|Ν12Μ    |ανασφάλιστος     |1                     |5,390       |414.615385   |979.62       |
|Ορθοπεδικό   |2,025|Ν28Μ    |ΕΦΚΑ             |1                     |1,907       |0            |4,023.74     |
|Ορθοπεδικό   |2,025|Ν32Χ    |ιδιωτική ασφάλεια|1                     |1,183       |0            |1,418.06     |
|Ορθοπεδικό   |2,025|Ξ02Μ    |ανασφάλιστος     |1                     |4,655       |0            |2,847.39     |
|Ορθοπεδικό   |2,025|Ξ20Χα   |ιδιωτική ασφάλεια|1                     |786         |1,048        |4,427.59     |
|Ορθοπεδικό   |2,025|Ο01Α    |ιδιωτική ασφάλεια|1                     |1,395       |5,115        |1,324.42     |
|Ορθοπεδικό   |2,025|Ο14Α    |ιδιωτική ασφάλεια|1                     |406         |1,827        |988.81       |
|Ορθοπεδικό   |2,025|Τ21Α    |ανασφάλιστος     |1                     |41,579      |0            |1,276.12     |
|Ορθοπεδικό   |2,025|Τ26Χ    |ΕΦΚΑ             |1                     |716         |859.2        |1,071.76     |
|Ορθοπεδικό   |2,025|Υ04Χα   |ΕΦΚΑ             |1                     |2,361       |2,361        |3,188.71     |
|Ορθοπεδικό   |2,025|Φ03Α    |ανασφάλιστος     |1                     |5,386       |0            |941.01       |
|Ορθοπεδικό   |2,025|Φ22Χ    |ανασφάλιστος     |1                     |827         |2,481        |841.58       |
|Ορθοπεδικό   |2,025|Χ20Α    |ΕΦΚΑ             |1                     |148         |296          |1,347.99     |
|Ορθοπεδικό   |2,025|Ω11Α    |ιδιωτική ασφάλεια|1                     |526         |1,578        |1,860.08     |
|Ουρολογικό   |2,025|Α31Χ    |ιδιωτική ασφάλεια|1                     |910         |1,456        |2,460.96     |
|Ουρολογικό   |2,025|Α33Χ    |ανασφάλιστος     |1                     |607         |1,416.333333 |2,543.97     |
|Ουρολογικό   |2,025|Δ22Μ    |ιδιωτική ασφάλεια|1                     |965         |193          |2,863.16     |
|Ουρολογικό   |2,025|Δ23Χ    |ανασφάλιστος     |1                     |366         |1,281        |4,195.33     |
|Ουρολογικό   |2,025|Δ29Χ    |ανασφάλιστος     |1                     |1,377       |196.714286   |4,056.11     |
|Ουρολογικό   |2,025|Ε-ΤΚΑ   |ιδιωτική ασφάλεια|1                     |1,000       |0            |1,401.93     |
|Ουρολογικό   |2,025|Θ22Χ    |ανασφάλιστος     |1                     |482         |2,410        |2,621.4      |
|Ουρολογικό   |2,025|Κ22Α    |ιδιωτική ασφάλεια|1                     |7,753       |0            |1,678.96     |
|Ουρολογικό   |2,025|Μ02Χ    |ΕΦΚΑ             |1                     |3,430       |1,286.25     |4,152.06     |
|Ουρολογικό   |2,025|Μ11Α    |ανασφάλιστος     |1                     |4,045       |9,101.25     |2,855.94     |
|Ουρολογικό   |2,025|Μ12Μβ   |ιδιωτική ασφάλεια|1                     |2,993       |0            |3,398.8      |
|Ουρολογικό   |2,025|Μ31Χ    |ανασφάλιστος     |1                     |8,533       |0            |971.61       |
|Ουρολογικό   |2,025|Ν27Μβ   |ιδιωτική ασφάλεια|1                     |1,307       |490.125      |4,591.32     |
|Ουρολογικό   |2,025|Ν30Χ    |ιδιωτική ασφάλεια|1                     |1,191       |1,191        |4,427.95     |
|Ουρολογικό   |2,025|Ν31Χ    |ΕΦΚΑ             |1                     |280         |1,680        |762.39       |
|Ουρολογικό   |2,025|Ν34Χ    |ΕΦΚΑ             |2                     |1,386       |2,508        |9,531.7      |
|Ουρολογικό   |2,025|ΤΚΑ 11  |ιδιωτική ασφάλεια|1                     |1,000       |0            |596.83       |
|Ουρολογικό   |2,025|Υ07Μ    |ΕΦΚΑ             |1                     |1,218       |730.8        |1,439.21     |
|Ουρολογικό   |2,025|Υ25Μ    |ιδιωτική ασφάλεια|1                     |1,128       |940          |3,770.5      |
|Ουρολογικό   |2,025|Φ04Μ    |ιδιωτική ασφάλεια|1                     |8,798       |0            |4,040.49     |
|Ουρολογικό   |2,025|Ω05Α    |ανασφάλιστος     |1                     |1,859       |4,647.5      |1,560.05     |
|Οφθαλμολογικό|2,025|G01Μβ   |ιδιωτική ασφάλεια|1                     |3,573       |0            |2,230.5      |
|Οφθαλμολογικό|2,025|S01Μ    |ΕΦΚΑ             |1                     |2,413       |0            |1,188.09     |
|Οφθαλμολογικό|2,025|Β06Μ    |ιδιωτική ασφάλεια|1                     |1,930       |1,930        |1,722.7      |
|Οφθαλμολογικό|2,025|Β06Χ    |ΕΦΚΑ             |1                     |1,659       |8,295        |1,618.57     |
|Οφθαλμολογικό|2,025|Β20Χ    |ανασφάλιστος     |1                     |413         |619.5        |2,719.09     |
|Οφθαλμολογικό|2,025|Γ05Μ    |ΕΦΚΑ             |1                     |2,147       |3,220.5      |4,519.68     |
|Οφθαλμολογικό|2,025|Δ28Μ    |ιδιωτική ασφάλεια|1                     |1,969       |393.8        |4,745.96     |
|Οφθαλμολογικό|2,025|Θ01Χ    |ανασφάλιστος     |1                     |2,801       |0            |2,826.79     |
|Οφθαλμολογικό|2,025|Θ02Μ    |ανασφάλιστος     |1                     |5,135       |0            |889.68       |
|Οφθαλμολογικό|2,025|Θ03Α    |ΕΦΚΑ             |1                     |3,297       |4,396        |4,907.03     |
|Οφθαλμολογικό|2,025|Κ06Μ    |ανασφάλιστος     |1                     |7,182       |1,436.4      |3,038.78     |
|Οφθαλμολογικό|2,025|Κ09Μβ   |ανασφάλιστος     |1                     |3,617       |2,411.333333 |3,746.46     |
|Οφθαλμολογικό|2,025|Κ31Μ    |ΕΦΚΑ             |1                     |2,038       |1,528.5      |2,485.82     |
|Οφθαλμολογικό|2,025|Κ46Μ    |ιδιωτική ασφάλεια|1                     |1,245       |415          |4,522.11     |
|Οφθαλμολογικό|2,025|Λ03Μ    |ανασφάλιστος     |1                     |1,249       |416.333333   |2,050.84     |
|Οφθαλμολογικό|2,025|Μ17Μ    |ιδιωτική ασφάλεια|1                     |2,708       |8,124        |3,381.39     |
|Οφθαλμολογικό|2,025|Ν27Μα   |ιδιωτική ασφάλεια|1                     |2,529       |0            |4,121.25     |
|Οφθαλμολογικό|2,025|Ρ10Χ    |ΕΦΚΑ             |1                     |1,473       |0            |1,986.89     |
|Οφθαλμολογικό|2,025|ΤΚΑ 23  |ανασφάλιστος     |1                     |1,000       |0            |2,377.69     |
|Οφθαλμολογικό|2,025|Φ10Α    |ανασφάλιστος     |1                     |1,472       |16,192       |2,925.86     |
|Οφθαλμολογικό|2,025|Φ60Μ    |ΕΦΚΑ             |1                     |1,144       |653.714286   |3,866.19     |
|Οφθαλμολογικό|2,025|Ω05Α    |ιδιωτική ασφάλεια|1                     |1,859       |8,365.5      |4,548.52     |
|Παθολογικό   |2,025|S23Χ    |ιδιωτική ασφάλεια|1                     |848         |424          |1,380.68     |
|Παθολογικό   |2,025|Δ23Μ    |ΕΦΚΑ             |1                     |965         |1,737        |3,449.29     |
|Παθολογικό   |2,025|Ε10Α    |ιδιωτική ασφάλεια|1                     |94,009      |0            |3,053.69     |
|Παθολογικό   |2,025|Ε13Α    |ιδιωτική ασφάλεια|1                     |37,063      |0            |2,101.7      |
|Παθολογικό   |2,025|Ζ01Α    |ανασφάλιστος     |1                     |36,068      |0            |1,204.1      |
|Παθολογικό   |2,025|Θ20Χ    |ιδιωτική ασφάλεια|2                     |2,311       |4,729.714286 |3,580.42     |
|Παθολογικό   |2,025|Ι24Α    |ιδιωτική ασφάλεια|1                     |599         |1,347.75     |1,508.01     |
|Παθολογικό   |2,025|Λ21Α    |ΕΦΚΑ             |1                     |420         |2,310        |3,375.45     |
|Παθολογικό   |2,025|Μ17Μ    |ιδιωτική ασφάλεια|1                     |2,708       |9,929.333333 |3,087.3      |
|Παθολογικό   |2,025|Μ32Μα   |ιδιωτική ασφάλεια|1                     |12,912      |0            |3,574.12     |
|Παθολογικό   |2,025|Μ67Χ    |ανασφάλιστος     |1                     |996         |711.428571   |2,370.22     |
|Παθολογικό   |2,025|Ν38Μ    |ανασφάλιστος     |1                     |2,327       |930.8        |4,155.58     |
|Παθολογικό   |2,025|Π07Χ    |ανασφάλιστος     |1                     |983         |4,423.5      |955.13       |
|Παθολογικό   |2,025|ΤΚΑ 09  |ανασφάλιστος     |1                     |1,000       |1,000        |2,824.05     |
|Παθολογικό   |2,025|ΤΚΑ 17  |ιδιωτική ασφάλεια|1                     |1,000       |428.571429   |2,079.58     |
|Παθολογικό   |2,025|Υ06Μ    |ΕΦΚΑ             |1                     |2,381       |0            |1,495.43     |
|Παθολογικό   |2,025|Χ47Α    |ΕΦΚΑ             |1                     |1,214       |0            |2,760.69     |
|Παιδιατρικό  |2,025|S24Μ    |ιδιωτική ασφάλεια|1                     |770         |962.5        |516.2        |
|Παιδιατρικό  |2,025|Α26Χ    |ανασφάλιστος     |1                     |607         |2,428        |1,484.11     |
|Παιδιατρικό  |2,025|Γ12Χ    |ανασφάλιστος     |1                     |1,963       |981.5        |1,326.52     |
|Παιδιατρικό  |2,025|Δ25Μ    |ανασφάλιστος     |1                     |1,105       |0            |4,642.42     |
|Παιδιατρικό  |2,025|Δ29Χ    |ιδιωτική ασφάλεια|1                     |1,377       |0            |1,099.16     |
|Παιδιατρικό  |2,025|Ε06Χα   |ιδιωτική ασφάλεια|1                     |20,597      |0            |1,484.5      |
|Παιδιατρικό  |2,025|Η40Μα   |ιδιωτική ασφάλεια|1                     |2,654       |0            |4,876.19     |
|Παιδιατρικό  |2,025|Κ17Χ    |ιδιωτική ασφάλεια|1                     |2,617       |10,468       |1,361.28     |
|Παιδιατρικό  |2,025|Κ21Μ    |ανασφάλιστος     |1                     |3,680       |0            |1,631.99     |
|Παιδιατρικό  |2,025|Κ32Α    |ιδιωτική ασφάλεια|1                     |1,043       |7,301        |3,133.42     |
|Παιδιατρικό  |2,025|Μ05Χ    |ανασφάλιστος     |1                     |6,101       |12,202       |1,401.26     |
|Παιδιατρικό  |2,025|Μ20Α    |ΕΦΚΑ             |1                     |1,286       |5,144        |3,521.74     |
|Παιδιατρικό  |2,025|Ν01Χ    |ιδιωτική ασφάλεια|1                     |1,980       |792          |986.39       |
|Παιδιατρικό  |2,025|Ν29Μ    |ανασφάλιστος     |1                     |1,230       |1,845        |2,968.7      |
|Παιδιατρικό  |2,025|Ν36Μ    |ιδιωτική ασφάλεια|1                     |1,486       |743          |3,970.21     |
|Παιδιατρικό  |2,025|Ν36Μ    |ανασφάλιστος     |1                     |1,486       |247.666667   |740.92       |
|Παιδιατρικό  |2,025|Ν38Χ    |ΕΦΚΑ             |1                     |879         |659.25       |1,797.92     |
|Παιδιατρικό  |2,025|Φ26Μ    |ιδιωτική ασφάλεια|1                     |2,460       |1,640        |3,716.07     |
|Παιδιατρικό  |2,025|Ω12Α    |ιδιωτική ασφάλεια|1                     |946         |0            |2,904.38     |
|Παιδιατρικό  |2,025|Ω36Χ    |ιδιωτική ασφάλεια|1                     |243         |3,402        |3,457.11     |
|Χειρουργική  |2,025|Α20Χ    |ΕΦΚΑ             |1                     |2,638       |0            |4,525.77     |
|Χειρουργική  |2,025|Α25Χ    |ΕΦΚΑ             |1                     |949         |379.6        |2,663.78     |
|Χειρουργική  |2,025|Α36Α    |ανασφάλιστος     |1                     |2,412       |0            |3,693.04     |
|Χειρουργική  |2,025|Δ28Χ    |ΕΦΚΑ             |1                     |965         |965          |1,625.72     |
|Χειρουργική  |2,025|Ζ22Χ    |ΕΦΚΑ             |1                     |397         |0            |2,574.1      |
|Χειρουργική  |2,025|Θ05Χ    |ΕΦΚΑ             |1                     |1,218       |6,699        |3,428.7      |
|Χειρουργική  |2,025|Κ04Μ    |ΕΦΚΑ             |1                     |13,155      |0            |3,050.11     |
|Χειρουργική  |2,025|Κ08Χ    |ανασφάλιστος     |1                     |5,561       |6,355.428571 |3,140.32     |
|Χειρουργική  |2,025|Μ21Α    |ιδιωτική ασφάλεια|1                     |1,052       |2,104        |509.65       |
|Χειρουργική  |2,025|Μ72Χ    |ανασφάλιστος     |1                     |490         |1,306.666667 |2,047.23     |
|Χειρουργική  |2,025|Ν27Μβ   |ΕΦΚΑ             |1                     |1,307       |0            |4,095.42     |
|Χειρουργική  |2,025|Ν31Μ    |ιδιωτική ασφάλεια|1                     |1,510       |862.857143   |4,528.6      |
|Χειρουργική  |2,025|Ο20Χ    |ΕΦΚΑ             |1                     |1,035       |2,587.5      |714.36       |
|Χειρουργική  |2,025|Π12Μα   |ΕΦΚΑ             |1                     |4,177       |0            |4,081.24     |
|Χειρουργική  |2,025|Τ25Χ    |ανασφάλιστος     |1                     |2,646       |0            |3,528.04     |
|Χειρουργική  |2,025|ΤΚΑ 08  |ανασφάλιστος     |1                     |1,000       |0            |4,437.92     |
|Χειρουργική  |2,025|ΤΚΑ 23  |ανασφάλιστος     |1                     |1,000       |0            |3,847.35     |
|Χειρουργική  |2,025|Υ09Μ    |ιδιωτική ασφάλεια|1                     |4,729       |0            |4,478.25     |
|Χειρουργική  |2,025|Υ21Α    |ιδιωτική ασφάλεια|2                     |367         |367          |2,070.44     |
|Χειρουργική  |2,025|Ω02Μα   |ανασφάλιστος     |1                     |5,420       |1,478.181818 |3,627.27     |
|Χειρουργική  |2,025|Ω02Μβ   |ιδιωτική ασφάλεια|1                     |2,570       |1,927.5      |4,933.57     |
|Χειρουργική  |2,025|Ω30Χ    |ιδιωτική ασφάλεια|1                     |545         |1,907.5      |2,390.87     |
|Ψυχιατρικό   |2,025|S24Χ    |ιδιωτική ασφάλεια|1                     |216         |1,080        |4,632.53     |
|Ψυχιατρικό   |2,025|Β02Μ    |ΕΦΚΑ             |1                     |1,719       |0            |1,632.57     |
|Ψυχιατρικό   |2,025|Δ12Μ    |ΕΦΚΑ             |1                     |4,871       |0            |2,863.15     |
|Ψυχιατρικό   |2,025|Ε01Α    |ιδιωτική ασφάλεια|1                     |28,907      |0            |880.4        |
|Ψυχιατρικό   |2,025|Ε12Α    |ιδιωτική ασφάλεια|1                     |6,414       |12,828       |2,790.9      |
|Ψυχιατρικό   |2,025|Ζ03Α    |ανασφάλιστος     |1                     |2,312       |924.8        |1,516.78     |
|Ψυχιατρικό   |2,025|Η40Μα   |ιδιωτική ασφάλεια|1                     |2,654       |0            |743.83       |
|Ψυχιατρικό   |2,025|Θ04Χ    |ανασφάλιστος     |1                     |2,848       |17,088       |3,806.51     |
|Ψυχιατρικό   |2,025|Θ24Χ    |ΕΦΚΑ             |1                     |669         |334.5        |871.02       |
|Ψυχιατρικό   |2,025|Κ37Χ    |ΕΦΚΑ             |1                     |459         |0            |4,431.06     |
|Ψυχιατρικό   |2,025|Μ18Α    |ιδιωτική ασφάλεια|1                     |743         |1,486        |4,404.18     |
|Ψυχιατρικό   |2,025|Μ61Μ    |ανασφάλιστος     |1                     |2,210       |0            |3,806.12     |
|Ψυχιατρικό   |2,025|Μ65Χ    |ιδιωτική ασφάλεια|1                     |1,222       |2,199.6      |1,086.96     |
|Ψυχιατρικό   |2,025|Τ04Α    |ιδιωτική ασφάλεια|1                     |11,997      |0            |3,865.71     |
|Ψυχιατρικό   |2,025|Τ25Μβ   |ΕΦΚΑ             |1                     |4,145       |0            |1,396.41     |
|Ψυχιατρικό   |2,025|ΤΚΑ 20  |ΕΦΚΑ             |1                     |1,000       |0            |1,500.31     |
|Ψυχιατρικό   |2,025|Υ03Μβ   |ΕΦΚΑ             |1                     |4,426       |0            |2,292.43     |
|Ψυχιατρικό   |2,025|Χ43Α    |ιδιωτική ασφάλεια|1                     |2,568       |0            |2,967.94     |
|ΩΡΛ          |2,025|Η01Μ    |ιδιωτική ασφάλεια|1                     |7,916       |0            |4,462.18     |
|ΩΡΛ          |2,025|Θ23Μ    |ιδιωτική ασφάλεια|1                     |1,074       |0            |4,062.83     |
|ΩΡΛ          |2,025|Κ34Μ    |ΕΦΚΑ             |1                     |2,233       |171.769231   |4,765.28     |
|ΩΡΛ          |2,025|Κ39Μ    |ιδιωτική ασφάλεια|1                     |1,268       |0            |3,488.65     |
|ΩΡΛ          |2,025|Μ31Χ    |ΕΦΚΑ             |1                     |8,533       |0            |2,272.81     |
