ΕΛΛΗΝΙΚΗ ΟΝΟΜΑΤΟΛΟΓΙΑ ΚΑΙ ΚΩΔΙΚΟΠΟΙΗΣΗ ΤΩΝ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;;;
Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
397;X603243;ΕΚΤΟΜΗ, ΚΑΚΟΗΘΗΣ ΒΛΑΒΗ ΕΠΙ ΥΓΕΙΩΝ ΟΡΙΩΝ, ΠΡΟΣΩΠΟ, ΩΤΑ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΧΕΙΛΗ·ΔΙΑΜΕΤΡΟΣ ΕΚΤΟΜΗΣ 1.1 ΕΩΣ 2.0 cm;;;;;
398;X603245;ΕΚΤΟΜΗ, ΚΑΚΟΗΘΗΣ ΒΛΑΒΗ ΕΠΙ ΥΓΕΙΩΝ ΟΡΙΩΝ, ΠΡΟΣΩΠΟ, ΩΤΑ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΧΕΙΛΗ· ΔΙΑΜΕΤΡΟΣ ΕΚΤΟΜΗΣ 2.1 ΕΩΣ 3.0 cm;;;;;
399;X603247;ΕΚΤΟΜΗ, ΚΑΚΟΗΘΗΣ ΒΛΑΒΗ ΕΠΙ ΥΓΕΙΩΝ ΟΡΙΩΝ, ΠΡΟΣΩΠΟ, ΩΤΑ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΧΕΙΛΗ· ΔΙΑΜΕΤΡΟΣ ΕΚΤΟΜΗΣ 3.1 ΕΩΣ 4.0 cm;;;;;
400;X603251;ΕΚΤΟΜΗ, ΚΑΚΟΗΘΗΣ ΒΛΑΒΗ ΕΠΙ ΥΓΕΙΩΝ ΟΡΙΩΝ, ΠΡΟΣΩΠΟ, ΩΤΑ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΧΕΙΛΗ· ΔΙΑΜΕΤΡΟΣ ΕΚΤΟΜΗΣ ΑΝΩ ΤΩΝ 4.0 cm;;;;;
401;X603397;ΚΟΠΗ ΜΗ ΔΥΣΤΡΟΦΙΚΩΝ ΝΥΧΙΩΝ, ΚΑΘΕ ΑΡΙΘΜΟΥ;;;;;
402;X603399;ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ ΝΥΧΙΟΥ(ΩΝ) ΜΕ ΚΑΘΕ ΜΕΘΟΔΟ(ΟΥΣ)· 1 ΕΩΣ 5;;;;;
403;X603401;ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ ΝΥΧΙΟΥ(ΩΝ) ΜΕ ΚΑΘΕ ΜΕΘΟΔΟ(ΟΥΣ)· 6 ΚΑΙ ΑΝΩ;;;;;
404;X603419;ΟΝΥΧΕΚΤΟΜΗ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΑΠΛΗ· ΠΡΩΤΗ;;;;;
405;X603423;ΟΝΥΧΕΚΤΟΜΗ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΑΠΛΗ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΟΝΥΧΑΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);;;;;
406;X603439;ΕΚΚΕΝΩΣΗ ΥΠΩΝΥΧΙΟΥ ΑΙΜΑΤΩΜΑΤΟΣ;;;;;
407;X603459;ΟΝΥΧΕΚΤΟΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΜΗΤΡΑΣ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ (Π.Χ. ΕΙΣΦΡΗΣΗ Ή  ΔΥΣΜΟΡΦΙΑ ΟΝΥΧΟΣ), ΜΟΝΙΜΗ ΑΦΑΙΡΕΣΗ·;;;;;
408;X603463;ΟΝΥΧΕΚΤΟΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΜΗΤΡΑΣ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ (Π.Χ. ΕΙΣΦΡΗΣΗ Ή  ΔΥΣΜΟΡΦΙΑ ΟΝΥΧΟΣ) ΜΟΝΙΜΗ ΑΦΑΙΡΕΣΗ· ΜΕ ΑΚΡΩΤΗΡΙΑΣΜΟ ΘΥΣΑΝΟΥ ΤΗΣ ΠΕΡΙΦΕΡΙΚΗΣ ΦΑΛΑΓΓΑΣ;;;;;
409;X603469;ΒΙΟΨΙΑ ΤΜΗΜΑΤΟΣ ΝΥΧΙΟΥ (Π.Χ. ΠΛΑΚΑ, ΚΟΙΤΗ, ΜΗΤΡΑ, ΥΠΩΝΥΧΙΟ, ΕΓΓΥΣ ΚΑΙ  ΠΛΕΥΡΙΚΕΣ ΠΤΥΧΕΣ) (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
410;X603479;ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΟΙΤΗΣ ΝΥΧΙΟΥ;;;;;
411;X603483;ΑΝΑΠΛΑΣΗ ΚΟΙΤΗΣ ΝΥΧΙΟΥ ΜΕ ΜΟΣΧΕΥΜΑ;;;;;
412;X603489;ΣΦΗΝΟΕΙΔΗΣ ΕΚΤΟΜΗ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΗΣ ΠΤΥΧΗΣ (Π.Χ. ΓΙΑ ΕΙΣΦΡΗΣΗ ΟΝΥΧΟΣ);;;;;
413;X603499;ΕΚΤΟΜΗ ΚΥΣΤΗ ΚΟΚΚΥΓΟΣ Ή ΚΟΙΛΟΤΗΤΟΣ· ΑΠΛΗ;;;;;
414;X603501;ΕΚΤΟΜΗ ΚΥΣΤΗ ΚΟΚΚΥΓΟΣ Ή ΚΟΙΛΟΤΗΤΟΣ· ΕΚΤΕΤΑΜΕΝΗ;;;;;
415;X603503;ΕΚΤΟΜΗ ΚΥΣΤΗ ΚΟΚΚΥΓΟΣ Ή ΚΟΙΛΟΤΗΤΟΣ· ΣΥΝΘΕΤΗ;;;;;
416;X603759;ΕΝΕΣΗ, ΕΝΔΟΒΛΑΒΙΚΗ· ΕΩΣ ΚΑΙ 7 ΒΛΑΒΕΣ;;;;;
417;X603761;ΕΝΕΣΗ, ΕΝΔΟΒΛΑΒΙΚΗ·ΑΝΩ ΤΩΝ 7 ΒΛΑΒΩΝ;;;;;
418;X603799;ΔΕΡΜΑΤΟΣΤΙΞΙΑ (ΤΑΤΟΥΑΖ), ΕΝΔΟΔΕΡΜΙΚΗ ΕΙΣΑΓΩΓΗ ΑΔΙΑΛΥΤΩΝ ΑΔΙΑΦΑΝΩΝ ΧΡΩΣΤΙΚΩΝ ΓΙΑ ΤΗ ΔΙΟΡΘΩΣΗ ΧΡΩΜΑΤΙΚΩΝ ΑΤΕΛΕΙΩΝ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΜΙΚΡΟΧΡΩΜΑΤΩΣΗΣ· 6.0 cm² Ή ΛΙΓΟΤΕΡΟ;;;;;
419;X603801;ΔΕΡΜΑΤΟΣΤΙΞΙΑ (ΤΑΤΟΥΑΖ), ΕΝΔΟΔΕΡΜΙΚΗ ΕΙΣΑΓΩΓΗ ΑΔΙΑΛΥΤΩΝ ΑΔΙΑΦΑΝΩΝ ΧΡΩΣΤΙΚΩΝ ΓΙΑ ΤΗ ΔΙΟΡΘΩΣΗ ΧΡΩΜΑΤΙΚΩΝ ΑΤΕΛΕΙΩΝ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΜΙΚΡΟΧΡΩΜΑΤΩΣΗΣ· 6.1 ΕΩΣ 20.0  cm²;;;;;
420;X603803;ΔΕΡΜΑΤΟΣΤΙΞΙΑ (ΤΑΤΟΥΑΖ), ΕΝΔΟΔΕΡΜΙΚΗ ΕΙΣΑΓΩΓΗ ΑΔΙΑΛΥΤΩΝ ΑΔΙΑΦΑΝΩΝ ΧΡΩΣΤΙΚΩΝ ΓΙΑ ΤΗ ΔΙΟΡΘΩΣΗ ΧΡΩΜΑΤΙΚΩΝ ΑΤΕΛΕΙΩΝ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΜΙΚΡΟΧΡΩΜΑΤΩΣΗΣ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 20 cm², Ή ΜΕΡΟΣ ΑΥΤΩΝ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ, ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);;;;;
421;X603859;ΥΠΟΔΟΡΙΑ ΕΝΕΣΗ ΥΛΙΚΟΥ ΠΛΗΡΩΣΕΩΣ (Π.Χ. ΚΟΛΛΑΓΟΝΟΥ) ΓΙΑ ΔΙΟΡΘΩΣΗ ΑΤΡΟΦΙΚΩΝ ΟΥΛΩΝ, ΛΙΠΟΔΥΣΤΡΟΦΙΑΣ, ΑΣΣΥΜΕΤΡΙΑΣ ΠΡΟΣΩΠΟΥ, ΚΛΠ· 1 cc Ή ΛΙΓΟΤΕΡΟ;;;;;
422;X603861;ΥΠΟΔΟΡΙΑ ΕΝΕΣΗ ΥΛΙΚΟΥ ΠΛΗΡΩΣΕΩΣ (Π.Χ. ΚΟΛΛΑΓΟΝΟΥ) ΓΙΑ ΔΙΟΡΘΩΣΗ ΑΤΡΟΦΙΚΩΝ ΟΥΛΩΝ, ΛΙΠΟΔΥΣΤΡΟΦΙΑΣ, ΑΣΣΥΜΕΤΡΙΑΣ ΠΡΟΣΩΠΟΥ, ΚΛΠ· 1 ΕΩΣ 3cc ;;;;;
423;X603863;ΥΠΟΔΟΡΙΑ ΕΝΕΣΗ ΥΛΙΚΟΥ ΠΛΗΡΩΣΕΩΣ (Π.Χ. ΚΟΛΛΑΓΟΝΟΥ) ΓΙΑ ΔΙΟΡΘΩΣΗ ΑΤΡΟΦΙΚΩΝ ΟΥΛΩΝ, ΛΙΠΟΔΥΣΤΡΟΦΙΑΣ, ΑΣΣΥΜΕΤΡΙΑΣ ΠΡΟΣΩΠΟΥ, ΚΛΠ· ΠΕΡΙΣΣΟΤΕΡΟ ΑΠΟ 3cc ;;;;;
424;X603867;ΥΠΟΔΟΡΙΑ ΕΝΕΣΗ ΥΛΙΚΟΥ ΠΛΗΡΩΣΕΩΣ (Π.Χ. ΚΟΛΛΑΓΟΝΟΥ)· ΑΝΩ ΤΩΝ 10 cc;;;;;
425;X603879;ΕΙΣΑΓΩΓΗ ΔΙΑΣΤΟΛΕΑ(ΩΝ) ΙΣΤΩΝ ΓΙΑ ΠΕΡΙΠΤΩΣΕΙΣ ΕΚΤΟΣ ΤΟΥ ΣΤΗΘΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΠΑΚΟΛΟΥΘΗΣ ΔΙΑΣΤΟΛΗΣ;;;;;
426;X603899;ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΤΟΥ ΔΙΑΣΤΟΛΕΑ ΙΣΤΩΝ ΜΕ ΜΟΝΙΜΟ ΕΜΦΥΤΕΥΜΑ;;;;;
427;X603901;ΑΦΑΙΡΕΣΗ ΤΟΥ ΔΙΑΣΤΟΛΕΑ(ΩΝ) ΙΣΤΩΝ ΧΩΡΙΣ ΕΙΣΑΓΩΓΗ ΕΜΦΥΤΕΥΜΑΤΟΣ;;;;;
428;X603909;ΕΙΣΑΓΩΓΗ, ΕΜΦΥΤΕΥΣΙΜΕΣ ΑΝΤΙΣΥΛΛΗΠΤΙΚΕΣ ΚΑΨΟΥΛΕΣ;;;;;
429;X603911;ΑΦΑΙΡΕΣΗ, ΕΜΦΥΤΕΥΣΙΜΕΣ ΑΝΤΙΣΥΛΛΗΠΤΙΚΕΣ ΚΑΨΟΥΛΕΣ;;;;;
430;X603913;ΑΦΑΙΡΕΣΗ ΜΕ ΕΚ ΝΕΟΥ ΕΙΣΑΓΩΓΗ, ΕΜΦΥΤΕΥΣΙΜΕΣ ΑΝΤΙΣΥΛΛΗΠΤΙΚΕΣ ΚΑΨΟΥΛΕΣ;;;;;
431;X603919;ΥΠΟΔΟΡΙΑ ΕΜΦΥΤΕΥΣΗ ΔΙΣΚΙΟΥ ΟΡΜΟΝΩΝ (ΕΜΦΥΤΕΥΣΗ ΔΙΣΚΙΩΝ ΟΙΣΤΡΑΔΙΟΛΗΣ ΚΑΙ/Ή ΤΕΣΤΟΣΤΕΡΟΝΗΣ ΚΑΤΩ ΑΠΟ ΤΟ ΔΕΡΜΑ);;;;;
432;X603921;ΕΙΣΑΓΩΓΗ, ΜΗ-ΒΙΟΔΙΑΣΠΩΜΕΝΟ ΕΜΦΥΤΕΥΜΑ ΠΑΡΟΧΗΣ ΦΑΡΜΑΚΕΥΤΙΚΟΥ ΣΚΕΥΑΣΜΑΤΟΣ;;;;;
433;X603923;ΑΦΑΙΡΕΣΗ, ΜΗ-ΒΙΟΔΙΑΣΠΩΜΕΝΟ ΕΜΦΥΤΕΥΜΑ ΠΑΡΟΧΗΣ ΦΑΡΜΑΚΕΥΤΙΚΟΥ ΣΚΕΥΑΣΜΑΤΟΣ;;;;;
434;X603925;ΑΦΑΙΡΕΣΗ ΜΕ ΕΚ ΝΕΟΥ ΕΙΣΑΓΩΓΗ, ΜΗ-ΒΙΟΔΙΑΣΠΩΜΕΝΟ ΕΜΦΥΤΕΥΜΑ ΠΑΡΟΧΗΣ ΦΑΡΜΑΚΕΥΤΙΚΟΥ ΣΚΕΥΑΣΜΑΤΟΣ;;;;;
435;X603961;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΟΥ ΑΥΧΕΝΑ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 2.5 cm Η ΛΙΓΟΤΕΡΟ;;;;;
436;X603963;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΟΥ ΑΥΧΕΝΑ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 2.6 cm ΕΩΣ 7.5 cm;;;;;
437;X603967;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΟΥ ΑΥΧΕΝΑ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 7.6 cm ΕΩΣ 12.5 cm;;;;;
438;X603969;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΟΥ ΑΥΧΕΝΑ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 12.6 cm ΕΩΣ 20.0 cm;;;;;
439;X603971;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΟΥ ΑΥΧΕΝΑ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 20.1 cm ΕΩΣ 30.0 cm;;;;;
440;X603973;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΟΥ ΑΥΧΕΝΑ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΩΝ ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· ΑΝΩ ΤΩΝ 30.0 cm;;;;;
441;X603981;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· 2.5 cm Ή ΛΙΓΟΤΕΡΟ;;;;;
442;X603985;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· 2.6 ΕΩΣ 5.0 cm;;;;;
443;X603987;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· 5.1 ΕΩΣ 7.5 cm;;;;;
444;X603989;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· 7.6 ΕΩΣ 12.5 cm;;;;;
445;X603991;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· 12.6 ΕΩΣ 20.0 cm;;;;;
446;X603993;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· 20.1 ΕΩΣ 30.0 cm;;;;;
447;X603995;ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΦΑΝΕΙΑΚΩΝ ΤΡΑΥΜΑΤΩΝ ΣΤΟ ΠΡΟΣΩΠΟ, ΤΑ ΩΤΑ, ΤΑ ΒΛΕΦΑΡΑ, ΤΗ ΡΙΝΑ, ΤΑ ΧΕΙΛΗ ΚΑΙ/Ή ΤΙΣ ΒΛΕΝΝΟΓΟΝΟΥΣ· ΑΝΩ ΤΩΝ 30.0 cm;;;;;
448;X603999;ΘΕΡΑΠΕΙΑ ΔΙΑΣΠΑΣΗΣ ΕΠΙΦΑΝΕΙΑΚΟΥ ΤΡΑΥΜΑΤΟΣ· ΑΠΛΗ ΣΥΓΚΛΕΙΣΗ;;;;;
449;X604001;ΘΕΡΑΠΕΙΑ ΔΙΑΣΠΑΣΗΣ ΕΠΙΦΑΝΕΙΑΚΟΥ ΤΡΑΥΜΑΤΟΣ· ΜΕ ΕΠΙΔΕΣΗ;;;;;
450;X604021;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 2.5 cm Ή ΛΙΓΟΤΕΡΟ;;;;;
451;X604023;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 2.6 ΕΩΣ 7.5 cm;;;;;
452;X604027;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 7.6 ΕΩΣ 12.5 cm;;;;;
453;X604029;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 12.6 ΕΩΣ 20.0 cm;;;;;
454;X604031;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· 20.1 ΕΩΣ 30.0 cm;;;;;
455;X604033;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΤΟΥ ΔΕΡΜΑΤΟΣ ΤΟΥ ΚΡΑΝΙΟΥ, ΤΗΣ ΜΑΣΧΑΛΗΣ, ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ/Ή ΤΩΝ ΑΚΡΩΝ (ΜΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΚΡΑΣ ΧΕΙΡΟΣ ΚΑΙ ΑΚΡΟΥ ΠΟΔΑ)· ΑΝΩ ΤΩΝ 30.0 cm;;;;;
