Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
7254;K514797;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ , 2 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΔΙΑΦΟΡΕΤΙΚΕΣ ΠΕΡΙΟΧΕΣ ΘΕΡΑΠΕΙΑΣ,  Ή 3 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΠΕΔΙΑ ΣΕ ΜΙΑ ΠΕΡΙΟΧΗ ΘΕΡΑΠΕΙΑΣ, ΜΟΝΑΔΑ ΚΟΒΑΛΤΙΟΥ;;;;;
7255;K514799;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ , 2 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΔΙΑΦΟΡΕΤΙΚΕΣ ΠΕΡΙΟΧΕΣ ΘΕΡΑΠΕΙΑΣ,  Ή 3 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΠΕΔΙΑ ΣΕ ΜΙΑ ΠΕΡΙΟΧΗ ΘΕΡΑΠΕΙΑΣ, ΠΕΡΙΣΤΡΕΦΟΜΕΝΗ ΔΕΣΜΗ, Ή/ΚΑΙ ΔΕΣΜΕΣ ΗΛΕΚΤΡΟΝΙΩΝ, ΣΕ ΓΡΑΜΜΙΚΟ ΕΠΙΤΑΧΥΝΤΗ, ΧΡΗΣΙΜΟΠΟΙΟΥΜΕΝΗ ΕΝΕΡΓΕΙΑ  ΕΩΣ 10 MV/MeV;;;;;
7256;K514803;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ , 2 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΔΙΑΦΟΡΕΤΙΚΕΣ ΠΕΡΙΟΧΕΣ ΘΕΡΑΠΕΙΑΣ,  Ή 3 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΠΕΔΙΑ ΣΕ ΜΙΑ ΠΕΡΙΟΧΗ ΘΕΡΑΠΕΙΑΣ, ΠΕΡΙΣΤΡΕΦΟΜΕΝΗ ΔΕΣΜΗ, Ή/ΚΑΙ ΔΕΣΜΕΣ ΗΛΕΚΤΡΟΝΙΩΝ, ΣΕ ΓΡΑΜΜΙΚΟ ΕΠΙΤΑΧΥΝΤΗ,  ΧΡΗΣΙΜΟΠΟΙΟΥΜΕΝΗ ΕΝΕΡΓΕΙΑ ΜΕΓΑΛΥΤΕΡΗ ΤΩΝ 10 MV/MeV;;;;;
7257;K514805;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΑΚΤΙΝΟΧΕΙΡΟΥΡΓΙΚΗΣ / ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΚΡΑΝΙΑΚΩΝ ΒΛΑΒΩΝ, 6 - 10 ΣΥΝΕΔΡΙΕΣ, ΜΕ ΓΡΑΜΜΙΚΟ ΕΠΙΤΑΧΥΝΤΗ, ΕΠΑΝΑΤΟΠΟΘΕΤΟΥΜΕΝΟ ΠΛΑΙΣΙΟ Ή/ΚΑΙ ΣΤΕΡΕΟΣΚΟΠΙΚΗ ΑΠΕΙΚΟΝΙΣΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗΣ ΚΑΘΟΔΗΓΗΣΗΣ (ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
7258;K514807;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΚΡΑΝΙΑΚΩΝ ΒΛΑΒΩΝ, ΠΕΡΙΣΣΟΤΕΡΕΣ ΤΩΝ 10 ΣΥΝΕΔΡΙΕΣ, ΜΕ ΓΡΑΜΜΙΚΟ ΕΠΙΤΑΧΥΝΤΗ, ΕΠΑΝΑΤΟΠΟΘΕΤΟΥΜΕΝΟ ΠΛΑΙΣΙΟ Ή/ΚΑΙ ΣΤΕΡΕΟΣΚΟΠΙΚΗ ΑΠΕΙΚΟΝΙΣΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗΣ ΚΑΘΟΔΗΓΗΣΗΣ (ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
7259;K514809;ΑΚΤΙΝΟΒΟΛΗΣΗ ΒΙΟΛΟΓΙΚΩΝ ΥΛΙΚΩΝ (ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
7260;K514813;ΔΙΕΓΧΕΙΡΗΤΙΚΗ ΑΚΤΙΝΟΒΟΛΗΣΗ ΜΕ ΗΛΕΚΤΡΟΝΙΑ.ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ (ΠΛΑΝΟ ΘΕΡΑΠΕΙΑΣ, ΔΟΣΙΜΕΤΡΙΚΟΣ ΣΧΕΔΙΑΣΜΟΣ);;;;;
7261;K514815;ΕΝΤΟΠΙΣΤΙΚΑ ΦΙΛΜ ΠΕΔΙΩΝ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ;;;;;
7262;K514817;ΣΥΝΕΔΡΙΑ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ (ΣΥΜΒΑΤΙΚΗ IMRT / ΟΓΚΟΜΕΤΡΙΚΗ IMRT);;;;;
7263;K514823;ΣΤΕΡΕΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΑΚΤΙΝΩΝ-Χ, 3-ΔΙΑΣΤΑΤΗ (3D) ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΤΗΝ ΧΟΡΗΓΗΣΗ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΑΝΑ ΣΥΝΕΔΡΙΑ;;;;;
7264;K514825;ΣΥΝΕΔΡΙΑ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ ΣΥΝΘΕΤΗ (ΕΛΙΚΟΕΙΔΗΣ Ή ΟΓΚΟΜΕΤΡΙΚΗ IMRT ΜΕ ΠΕΡΙΣΣΟΤΕΡΑ ΤΟΥ 1 ΤΟΞΑ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΤΟΥ 1 ΙΣΟΚΕΝΤΡΑ);;;;;
7265;K514827;ΗΛΕΚΤΡΟΝΙΚΕΣ ΕΝΤΟΠΙΣΤΙΚΕΣ ΠΕΔΙΩΝ ΘΕΡΑΠΕΙΑΣ (ΑΝΑ ΣΥΝΕΔΡΙΑ);;;;;
7266;K514835;ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΚΑΘΟΔΗΓΗΣΗ Kv-Kv, Kv-MV;;;;;
7267;K514843;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΣΩΜΑΤΙΚΗΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΧΟΡΗΓΗΣΗ ΘΕΡΑΠΕΙΑΣ ΚΛΑΣΜΑΤΙΚΑ ΣΕ 1 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΒΛΑΒΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΣΤΕΡΕΟΣΚΟΠΙΚΗΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗΣ Ή/ΚΑΙ ΑΛΛΗΣ ΚΑΤΑΛΛΗΛΗΣ ΚΑΘΟΔΗΓΗΣΗΣ ΚΑΙ ΧΡΗΣΗ ΕΜΦΥΤΕΥΜΕΝΩΝ MARKERS, 6 - 10 ΣΥΝΕΔΡΙΕΣ (ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
7268;K514845;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΣΩΜΑΤΙΚΗΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΧΟΡΗΓΗΣΗ ΘΕΡΑΠΕΙΑΣ, ΚΛΑΣΜΑΤΙΚΑ ΣΕ 1 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΒΛΑΒΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΣΤΕΡΕΟΣΚΟΠΙΚΗΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗΣ  Ή/ΚΑΙ ΑΛΛΗΣ ΚΑΤΑΛΛΗΛΗΣ ΚΑΘΟΔΗΓΗΣΗΣ ΚΑΙ ΧΡΗΣΗ ΕΜΦΥΤΕΥΜΕΝΩΝ MARKERS, ΠΕΡΙΣΣΟΤΕΡΕΣ ΤΩΝ 10 ΣΥΝΕΔΡΙΕΣ   (ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ);;;;;
7269;K514851;ΠΟΙΟΤΙΚΟΣ ΕΛΕΓΧΟΣ ΠΛΑΝΟΥ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ (ΣΥΜΒΑΤΙΚΗ, ΟΓΚΟΜΕΤΡΙΚΗ, ΕΛΙΚΟΕΙΔΗΣ) ;;;;;
7270;K514921;ΑΚΤΙΝΟΒΟΛΗΣΗ ΟΛΟΣΩΜΑΤΙΚΗ ( ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ). ;;;;;
7271;K514979;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΑΚΤΙΝΟΘΕΡΑΠΕΙΑ, ΔΙΑΧΕΙΡΙΣΗ ΘΕΡΑΠΕΙΑΣ;;;;;
7272;Κ514979.1;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ , ΜΙΑ ΠΕΡΙΟΧΗ ΘΕΡΑΠΕΙΑΣ, 2-4 ΑΝΤΙΘΕΤΑ ΠΕΔΙΑ, Ή ΔΥΟ ΕΦΑΠΤΟΜΕΝΑ ΠΕΔΙΑ, ΜΕ  Ή ΧΩΡΙΣ ΜΠΛΟΚ, ΜΟΝΑΔΑ ΚΟΒΑΛΤΙΟΥ;;;;;
7273;K515021;ΑΚΤΙΝΟΘΕΡΑΠΕΙΑ ΜΕ  ΠΡΩΤΟΝΙΑ, ΑΠΛΗ, ΑΝΕΥ ΑΝΤΙΣΤΑΘΜΙΣΤΩΝ;;;;;
7274;K515025;ΑΚΤΙΝΟΘΕΡΑΠΕΙΑ ΜΕ  ΠΡΩΤΟΝΙΑ, ΑΠΛΗ, ΜΕ ΧΡΗΣΗ ΑΝΤΙΣΤΑΘΜΙΣΤΩΝ;;;;;
7275;K515027;ΑΚΤΙΝΟΘΕΡΑΠΕΙΑ ΜΕ  ΠΡΩΤΟΝΙΑ, ΜΕΣΑΙΑ (ΠΟΛΛΑΠΛΑ ΠΕΔΙΑ);;;;;
7276;K515031;ΑΚΤΙΝΟΘΕΡΑΠΕΙΑ ΜΕ  ΠΡΩΤΟΝΙΑ. ΣΥΝΘΕΤΗ (SCANNING BEAM, IMPT);;;;;
7277;K515181;ΥΠΕΡΘΕΡΜΙΑ, ΕΞΩΤΕΡΙΚΑ ΠΑΡΑΓΟΜΕΝΗ, ΕΠΙΦΑΝΕΙΑΚΗ (ΘΕΡΜΑΝΣΗ ΣΕ ΒΑΘΟΣ 4 CM Ή ΛΙΓΟΤΕΡΟ);;;;;
7278;K515191;ΥΠΕΡΘΕΡΜΙΑ, ΕΞΩΤΕΡΙΚΑ ΠΑΡΑΓΟΜΕΝΗ, ΕΝ ΤΩ ΒΑΘΕΙ (ΘΕΡΜΑΝΣΗ ΣΕ ΒΑΘΟΣ ΜΕΓΑΛΥΤΕΡΟ ΤΩΝ 4 CM);;;;;
7279;K515201;ΥΠΕΡΘΕΡΜΙΑ ΠΑΡΑΓΟΜΕΝΗ ΑΠΟ ΚΑΘΕΤΗΡΕΣ ΕΝΔΟΪΣΤΙΚΑ. 5 Ή ΛΙΓΟΤΕΡΟΙ ΕΝΔΟΪΣΤΙΚΟΙ ΕΦΑΡΜΟΓΕΙΣ;;;;;
7280;K515211;ΥΠΕΡΘΕΡΜΙΑ ΠΑΡΑΓΟΜΕΝΗ ΑΠΟ ΚΑΘΕΤΗΡΕΣ ΕΝΔΟΪΣΤΙΚΑ. ΠΕΡΙΣΣΟΤΕΡΟΙ ΑΠΟ 5 ΕΝΔΟΪΣΤΙΚΟΙ ΕΦΑΡΜΟΓΕΙΣ;;;;;
7281;K515221;ΥΠΕΡΘΕΡΜΙΑ ΠΑΡΑΓΟΜΕΝΗ ΑΠΟ ΚΑΘΕΤΗΡΕΣ ΕΝΔΟΚΟΙΛΟΤΙΚΟΥΣ;;;;;
7282;K515481;ΑΝΕΝΕΡΓΟΣ;;;;;
7283;K515503;ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ Ή ΚΑΘΕΤΗΡΩΝ ΑΚΤΙΝΟΒΟΛΗΣΗΣ ΕΝΔΟΚΟΙΛΟΤΙΚΗ, ΑΠΛΗ (ΜΙΑ ΕΩΣ ΤΕΣΣΕΡΙΣ ΠΗΓΕΣ), ΕΦ' ΟΣΟΝ ΔΕΝ ΟΡΙΖΕΤΑΙ ΑΛΛΟΣ ΚΩΔΙΚΟΣ;;;;;
7284;K515505;ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ Ή ΚΑΘΕΤΗΡΩΝ ΑΚΤΙΝΟΒΟΛΗΣΗΣ ΕΝΔΟΚΟΙΛΟΤΙΚΗ. ΜΕΣΑΙΑ (ΤΕΣΣΕΡΙΣ ΕΩΣ ΔΕΚΑ ΠΗΓΕΣ), ΕΦ' ΟΣΟΝ ΔΕΝ ΟΡΙΖΕΤΑΙ ΑΛΛΟΣ ΚΩΔΙΚΟΣ;;;;;
7285;K515507;ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ Ή ΚΑΘΕΤΗΡΩΝ ΑΚΤΙΝΟΒΟΛΗΣΗΣ ΕΝΔΟΚΟΙΛΟΤΙΚΗ, ΣΥΝΘΕΤΗ (ΠΕΡΙΣΣΟΤΕΡΕΣ ΤΩΝ ΔΕΚΑ ΠΗΓΩΝ), ΕΦ' ΟΣΟΝ ΔΕΝ ΟΡΙΖΕΤΑΙ ΑΛΛΟΣ ΚΩΔΙΚΟΣ;;;;;
7286;K515533;ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ Ή ΚΑΘΕΤΗΡΩΝ ΑΚΤΙΝΟΒΟΛΗΣΗΣ ΕΝΔΟΪΣΤΙΚΗ, ΑΠΛΗ  (ΜΙΑ ΕΩΣ ΤΕΣΣΕΡΙΣ ΠΗΓΕΣ), ΕΦ' ΟΣΟΝ ΔΕΝ ΟΡΙΖΕΤΑΙ ΑΛΛΟΣ ΚΩΔΙΚΟΣ;;;;;
7287;K515535;ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ Ή ΚΑΘΕΤΗΡΩΝ ΑΚΤΙΝΟΒΟΛΗΣΗΣ ΕΝΔΟΪΣΤΙΚΗ, ΜΕΣΑΙΑ  (ΤΕΣΣΕΡΙΣ ΕΩΣ ΔΕΚΑ ΠΗΓΕΣ), ΕΦ' ΟΣΟΝ ΔΕΝ ΟΡΙΖΕΤΑΙ ΑΛΛΟΣ ΚΩΔΙΚΟΣ;;;;;
7288;K515537;ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ Ή ΚΑΘΕΤΗΡΩΝ ΑΚΤΙΝΟΒΟΛΗΣΗΣ ΕΝΔΟΪΣΤΙΚΗ, ΣΥΝΘΕΤΗ (ΠΕΡΙΣΣΟΤΕΡΕΣ ΤΩΝ ΔΕΚΑ ΠΗΓΩΝ), ΕΦ' ΟΣΟΝ ΔΕΝ ΟΡΙΖΕΤΑΙ ΑΛΛΟΣ ΚΩΔΙΚΟΣ;;;;;
7289;K515551;ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΥΨΗΛΟΥ ΡΥΘΜΟΥ ΔΟΣΗΣ ΜΕ ΤΕΧΝΙΚΗ ΜΕΤΑΦΟΡΤΙΣΗΣ ΕΞ ΑΠΟΣΤΑΣΕΩΣ, 1 ΚΑΝΑΛΙ;;;;;
7290;K515553;ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΥΨΗΛΟΥ ΡΥΘΜΟΥ ΔΟΣΗΣ ΜΕ ΤΕΧΝΙΚΗ ΜΕΤΑΦΟΡΤΙΣΗΣ ΕΞ ΑΠΟΣΤΑΣΕΩΣ, 2-12 ΚΑΝΑΛΙΑ;;;;;
7291;K515555;ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΥΨΗΛΟΥ ΡΥΘΜΟΥ ΔΟΣΗΣ ΜΕ ΤΕΧΝΙΚΗ ΜΕΤΑΦΟΡΤΙΣΗΣ ΕΞ ΑΠΟΣΤΑΣΕΩΣ, ΠΕΡΙΣΣΟΤΕΡΑ ΑΠΟ 12 ΚΑΝΑΛΙΑ;;;;;
7292;K515559;ΕΠΙΦΑΝΕΙΑΚΗ ΕΦΑΡΜΟΓΗ ΠΗΓΗΣ ΑΚΤΙΝΟΒΟΛΙΑΣ;;;;;
7293;K515561;ΔΙΑΧΕΙΡΙΣΗ ΠΗΓΩΝ ΒΡΑΧΥΘΕΡΑΠΕΙΑΣ ΚΑΙ ΕΛΕΓΧΟΣ ΕΝΕΡΓΟΤΗΤΑΣ;;;;;
7294;K515579;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΚΛΙΝΙΚΗ ΒΡΑΧΥΘΕΡΑΠΕΙΑ;;;;;
7295;K515579.1;ΥΠΕΡΘΕΡΜΙΑ ΟΛΟΣΩΜΑΤΙΚΗ;;;;;
Γ.11;ΠΥΡΗΝΙΚΗ ΙΑΤΡΙΚΗ;;;;;;
7296;K515981;ΠΡΟΣΛΗΨΗ ΙΩΔΙΟΥ-131 ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ;;;;;
7297;K515983;ΠΡΟΣΛΗΨΗ ΙΩΔΙΟΥ-131 ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ. 2 Η ΠΕΡΙΣΣΟΤΕΡΟΙ ΠΡΟΣΔΙΟΡΙΣΜΟΙ.;;;;;
7298;K515987;ΡΑΔΙΟΪΣΟΤΟΠΙΚΗ ΜΕΛΕΤΗ ΘΥΡΕΟΕΙΔΟΥΣ ΜΕ ΥΠΕΡΤΕΧΝΗΤΙΚΟ (TC99MO4), ΜΕΤΑ ΔΙΕΓΕΡΣΗ Η ΚΑΤΑΣΤΟΛΗ Η ΑΠΟΦΟΡΤΙΣΗ. (ΔΕΝ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΟΙ ΑΡΧΙΚΕΣ ΜΕΛΕΤΕΣ).;;;;;
7299;K515993;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΘΥΡΕΟΕΙΔΟΥΣ ΜΕ ΙΩΔΙΟ-131;;;;;
7300;K515995;ΠΡΟΣΛΗΨΗ ΙΩΔΙΟΥ-123 ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ;;;;;
7301;K516001;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΘΥΡΕΟΕΙΔΟΥΣ ΜΕ ΥΠΕΡΤΕΧΝΗΤΙΚΟ (TC99MO4);;;;;
7302;K516003;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΘΥΡΕΟΕΙΔΟΥΣ ΜΕ ΙΩΔΙΟ-123;;;;;
7303;K516011;ΑΝΕΝΕΡΓΟΣ;;;;;
7304;K516013;ΑΝΕΝΕΡΓΟΣ;;;;;
7305;K516017;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΜΕ ΙΩΔΙΟ-123. ΟΛΟΣΩΜΟ.;;;;;
7306;K516021;ΠΡΟΣΛΗΨΗ ΜΕΤΑΣΤΑΣΕΩΝ ΚΑΡΚΙΝΟΥ ΘΥΡΕΟΕΙΔΟΥΣ - ΔΟΣΙΜΕΤΡΙΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);;;;;
7307;K516121;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΠΑΡΑΘΥΡΕΟΕΙΔΩΝ ΑΔΕΝΩΝ;;;;;
7308;K516131;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΜΥΕΛΟΥ ΕΠΙΝΕΦΡΙΔΙΩΝ;;;;;
7309;K516179;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΜΕ ΙΩΔΙΟ-131. ΟΛΟΣΩΜΟ;;;;;
7310;K516179.1;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΠΑΡΑΘΥΡΕΟΕΙΔΩΝ ΑΔΕΝΩΝ. ΑΦΑΙΡΕΤΙΚΗ ΤΕΧΝΙΚΗ ΜΕ ΣΥΝΔΥΑΣΜΕΝΟ ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΘΥΡΕΟΕΙΔΟΥΣ;;;;;
7311;K516179.2;ΠΡΟΣΛΗΨΗ  ΥΠΕΡΤΕΧΝΗΤΙΚΟΥ (TC99MO4) ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ. (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ).;;;;;
7312;K516179.3;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΦΛΟΙΟΥ ΕΠΙΝΕΦΡΙΔΙΩΝ;;;;;
7313;K516179.4;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΦΛΟΙΟΥ Η ΜΥΕΛΟΥ ΕΠΙΝΕΦΡΙΔΙΩΝ. ΣΥΜΠΛΗΡΩΜΑΤΙΚΗ ΑΠΕΙΚΟΝΙΣΗ ΘΕΣΗΣ ΝΕΦΡΩΝ;;;;;
7314;K516179.5;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΘΥΡΕΟΕΙΔΟΥΣ ΜΕ TL-201.;;;;;
7315;K516179.6;ΡΑΔΙΟΪΣΟΤΟΠΙΚΗ ΜΕΛΕΤΗ ΘΥΡΕΟΕΙΔΟΥΣ ΜΕ Ι-123, ΜΕΤΑ ΔΙΕΓΕΡΣΗ Η ΚΑΤΑΣΤΟΛΗ Η ΑΠΟΦΟΡΤΙΣΗ. (ΔΕΝ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΟΙ ΑΡΧΙΚΕΣ ΜΕΛΕΤΕΣ).;;;;;
7316;K516185;ΑΝΕΝΕΡΓΟΣ;;;;;
7317;K516187;ΑΝΕΝΕΡΓΟΣ;;;;;
7318;K516189;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ;;;;;
7319;K516201;ΑΝΕΝΕΡΓΟΣ;;;;;
7320;K516203;ΑΝΕΝΕΡΓΟΣ;;;;;
7321;K516221;ΑΝΕΝΕΡΓΟΣ;;;;;
7322;K516223;ΑΝΕΝΕΡΓΟΣ;;;;;
7323;K516225;ΡΑΔΙΟΪΣΟΤΟΠΙΚΗ ΜΕΛΕΤΗ ΌΓΚΟΥ ΑΙΜΑΤΟΣ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΤΑΙ  ΜΕΤΡΗΣΗ  ΟΓΚΟΥ ΠΛΑΣΜΑΤΟΣ ΚΑΙ  ΟΓΚΟΥ  ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ);;;;;
7324;K516241;ΡΑΔΙΟΪΣΟΤΟΠΙΚΗ ΜΕΛΕΤΗ ΕΠΙΒΙΩΣΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ;;;;;
7325;K516251;ΑΝΕΝΕΡΓΟΣ;;;;;
7326;K516261;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΜΕ ΚΑΤΕΣΤΡΑΜΜΕΝΑ ΕΡΥΡΘΡΟΚΥΤΤΑΡΑ;;;;;
7327;K516351;ΑΝΕΝΕΡΓΟΣ;;;;;
7328;K516361;ΑΝΕΝΕΡΓΟΣ;;;;;
7329;K516363;ΡΑΔΙΟΪΣΟΤΟΠΙΚΗ ΜΕΛΕΤΗ ΕΠΙΒΙΩΣΗΣ ΑΙΜΟΠΕΤΑΛΙΩΝ;;;;;
7330;K516371;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΑΠΕΙΚΟΝΙΣΗΣ ΛΕΜΦΙΚΗΣ ΟΔΟΥ.;;;;;
7331;K516379;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ ΑΙΜΟΠΟΙΗΤΙΚΟΥ, ΔΙΚΤΥΟΕΝΔΟΘΗΛΙΑΚΟΥ ΚΑΙ ΛΕΜΦΙΚΟΥΥ, ΔΙΑΓΝΩΣΤΙΚΗ ΠΥΡΗΝΙΚΗ ΙΑΤΡΙΚΗ;;;;;
7332;K516383;ΑΝΕΝΕΡΓΟΣ;;;;;
7333;K516385;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΉΠΑΤΟΣ ΜΕ ΕΠΙΣΗΜΑΣΜΕΝΑ ΕΡΥΘΡΑ ΑΙΜΟΣΦΑΙΡΙΑ;;;;;
7334;K516391;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΗΠΑΤΟΣ. ΤΟΜΟΓΡΑΦΙΚΕΣ ΛΗΨΕΙΣ (SPECT).;;;;;
7335;K516393;ΑΝΕΝΕΡΓΟΣ;;;;;
7336;K516411;ΣΠΙΝΘΗΡΟΓΡΑΦΗΜΑ ΗΠΑΤΟΣ ΚΑΙ ΣΠΛΗΝΟΣ. ΣΤΑΤΙΚΗ ΛΗΨΗ;;;;;
